concept_id,concept_name,concept_code,vocabulary_id
45930792,Monocytic Leukemia,115714,CIEL
45938648,Lymphoid Leukemia in Remission,116170,CIEL
45923759,Lymphoid Leukemia,116174,CIEL
45954080,Leukemia in Remission,116327,CIEL
45923770,Other Leukemia of Unspecified Cell Type in Remission,116328,CIEL
45943366,Subacute Leukemia in Remission,116329,CIEL
45920089,Leukemia,116331,CIEL
45907488,Other Leukemia of Unspecified Cell Type,116332,CIEL
45939040,Aleukemic Myeloid Leukemia,121711,CIEL
45914778,"Leukemia, Erythroblastic, Acute",121964,CIEL
45936381,Acute Myeloid Leukemia,121966,CIEL
45925002,Monoblastic Leukemia,121975,CIEL
45925003,Acute Monoblastic Leukemia,121977,CIEL
45955292,"Myeloid Leukemia, Naegeli Type",121979,CIEL
45939065,"Leukemia, Lymphoidocytic",121994,CIEL
45939066,Acute Lymphoid Leukemia,121996,CIEL
45908256,Acute Leukemia,122004,CIEL
45923293,Hairy Cell Leukemia,125024,CIEL
45931582,T-Cell Chronic Lymphocytic Leukemia,125025,CIEL
45931918,Subacute Monocytic Leukemia,125732,CIEL
45945360,"Acute Promyelocytic Leukemia, Fab M3",149564,CIEL
45933530,"Acute Myelomonocytic Leukemia, Fab M4",149649,CIEL
45945540,Acute Monocytic Leukemia,149654,CIEL
45916831,Acute Megakaryoblastic Leukemia,149665,CIEL
45955440,Acute Eosinophilic Leukemia,149828,CIEL
45930094,Lymphosarcoma Cell Leukemia,151838,CIEL
45917026,Family History of Chronic Myeloid Leukemia,152915,CIEL
45910963,neutrophilic leukemia,153563,CIEL
45926652,compound leukemia,153788,CIEL
45949006,B lymphoblastic leukemia,155225,CIEL
45941446,chronic eosinophilic leukemia,155559,CIEL
45925763,chronic neutrophilic leukemia,155576,CIEL
45941822,"erythroleukemia, erythroid/myeloid",156169,CIEL
45935946,megakaryocytic leukemia with failed remission,157708,CIEL
45933824,plasma cell leukemia in relapse,158377,CIEL
42542255,FLT3-positive Acute myeloid leukemia,1891,HemOnc
42542256,IDH-mutated Acute myeloid leukemia,1919,HemOnc
42542277,Acute lymphoblastic leukemia,24309,HemOnc
905641,Acute myeloid leukemia pediatric,31848,HemOnc
905651,B-cell acute lymphoblastic leukemia pediatric,32320,HemOnc
905661,Chronic myeloid leukemia pediatric,33893,HemOnc
42542305,Acute leukemia,46072,HemOnc
42542334,T-cell leukemia,46108,HemOnc
42542341,Leukemia,46221,HemOnc
42542263,Ph-positive B-cell acute lymphoblastic leukemia,4770,HemOnc
42542409,T-cell prolymphocytic leukemia,50421,HemOnc
42542126,Acute myeloid leukemia,552,HemOnc
42542127,Acute promyelocytic leukemia,553,HemOnc
42542130,Adult T-cell leukemia-lymphoma,556,HemOnc
42542141,B-cell acute lymphoblastic leukemia,567,HemOnc
